id;name_kz;name_ru;code;create_date;update_date;is_archive;is_disabled
1;'Создание/редактирование форм';'Создание/редактирование форм';'01';'2016-01-11';''2016-01-11'';false;false
2;'Печать форм';'Печать форм';'02';'2016-01-11';''2016-01-11'';false;false
3;'Загрузка печатных форм';'Загрузка печатных форм';'03';'2016-01-11';''2016-01-11'';false;false
4;'Просмотр загруженных форм';'Просмотр загруженных форм';'04';'2016-01-11';''2016-01-11'';false;false
5;'Просмотр архива версий бюджета';'Просмотр архива версий бюджета';'05';'2016-01-11';''2016-01-11'';false;false
6;'Выбор подписывающих форм';'Выбор подписывающих форм';'06';'2016-01-11';''2016-01-11'';false;false
7;'Загрузка пояснителной записки';'Загрузка пояснителной записки';'07';'2016-01-11';''2016-01-11'';false;false
8;'Загрузка паспорта бюджетной программы';'Загрузка паспорта бюджетной программы';'08';'2016-01-11';''2016-01-11'';false;false
9;'Формирование сводной формы по подпрограмме';'Формирование сводной формы по подпрограмме';'09';'2016-01-11';''2016-01-11'';false;false
10;'Загрузка пояснительных документов';'Загрузка пояснительных документов';'10';'2016-01-11';''2016-01-11'';false;false
11;'Удаление пояснительных документов';'Удаление пояснительных документов';'11';'2016-01-11';''2016-01-11'';false;false
12;'Удаление созданных форм ввода';'Удаление созданных форм ввода';'12';'2016-01-11';''2016-01-11'';false;false
