id;position_id;experience_id;scope_id;link_id;step_id;kat_id;coef_value;begin_date;end_date;create_date;last_update_date
1;1;1;null;null;null;2;2.74;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
2;1;2;null;null;null;2;2.88;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
3;1;3;null;null;null;2;3.01;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
4;1;4;null;null;null;2;3.15;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
5;1;5;null;null;null;2;3.29;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
6;1;6;null;null;null;2;3.37;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
7;1;7;null;null;null;2;3.45;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
8;1;8;null;null;null;2;3.53;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
9;1;9;null;null;null;2;3.62;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
10;1;10;null;null;null;2;3.64;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
11;1;11;null;null;null;2;3.7;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
12;6;23;null;1;1;null;5.84;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
13;6;24;null;1;1;null;6;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
14;6;25;null;1;1;null;6.17;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
15;6;26;null;1;1;null;6.34;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
16;6;27;null;1;1;null;6.52;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
17;6;28;null;1;1;null;6.7;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
18;6;29;null;1;1;null;6.89;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
19;6;30;null;1;1;null;7.08;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
20;8;12;null;1;null;null;3.39;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
21;8;13;null;1;null;null;3.47;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
22;8;14;null;1;null;null;3.55;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
23;8;15;null;1;null;null;3.63;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
24;8;16;null;1;null;null;3.71;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
25;8;17;null;1;null;null;3.8;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
26;8;18;null;1;null;null;3.89;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
27;8;19;null;1;null;null;3.98;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
28;8;20;null;1;null;null;4.07;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
29;8;21;null;1;null;null;4.16;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
30;8;22;null;1;null;null;4.26;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'

