id;link_id;value;begin_date;end_date;create_date;last_update_date
1;1;'1';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
2;1;'1-1';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
3;1;'2';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
4;1;'2-1';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
5;1;'3';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
6;1;'3-1';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
7;1;'4';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
8;2;'1';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
9;2;'2';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
10;2;'3';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
11;2;'4';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
12;2;'5';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
13;3;'1';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
14;3;'2';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
15;3;'3';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
16;3;'4';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
17;4;'1';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
18;4;'2';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
19;4;'3';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
20;4;'4';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
21;5;'1';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
22;5;'2';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
23;5;'3';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
24;5;'4';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
