id;coef_type_id;position_id;value;begin_date;end_date;create_date;last_update_date
1;1;null;3.62;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
2;3;null;1.35;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
3;4;null;2;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
4;4;null;1.75;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
5;4;null;1.5;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
6;4;null;1.25;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
7;4;null;1;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
8;5;null;1.5;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
9;5;null;1.3;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
10;5;null;1.2;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
11;6;null;0.7;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
12;2;2;4.6;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
13;2;2;4.84;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
14;2;2;5.06;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
15;10;null;1.9;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
16;11;null;1.2;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'



